Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,HR_008,HR_058,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,28,1,0,29,1,11,NA,NA,NA,NA,NA,NA,6,26.65,3,8.21,1,3.51,1,4.45,NA,NA,NA,NA,NA,NA,NA,4.441666666666666,2.736666666666667,3.51,4.45,NA,NA,3.7845833333333334,0.8262491945421075,0.39285714285714285,11.392857142857142,123.09,2022-03-31,22.031,288.273,minor folding,2022-03-31,115,141,132,2022-04-26,26,1,1,1,1
1,1,2,HR_196,HR_183,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,16,0,0,16,1,11,NA,NA,NA,NA,2,9.34,7,28.31,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,4.0442857142857145,2.2,NA,NA,NA,NA,3.638095238095238,1.2841215001746853,0.6875,11,NA,2022-03-31,19.275,233.033,NA,2022-03-31,115,141,132,2022-04-26,26,1,1,1,1
1,1,3,HR_085,HR_176,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,8,3,0,11,4,5,NA,NA,NA,NA,NA,NA,3,10.37,1,2.63,1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4566666666666666,2.63,3.3,NA,NA,NA,3.1288888888888886,0.43909418545877343,0.625,6.875,28.08,2022-03-24,23.45,328.36,NA,2022-03-24,125,134,125,2022-04-26,33,1,1,1,1
1,1,4,HR_006,HR_146,R,3,FALSE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,14,1,0,15,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-24,24.054,372.823,NA,2022-03-24,108,134,125,2022-04-26,33,1,1,1,0
1,1,4,HR_006,HR_146,R,6,FALSE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-31,23.324,300.507,NA,2022-03-24,108,134,125,2022-04-26,33,1,1,0,0
1,1,4,HR_006,HR_146,R,8,TRUE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-24,20.472,237.198,minor folding,2022-03-24,108,134,125,2022-04-26,33,1,1,0,0
1,1,5,HR_108,HR_177,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,14,0,0,14,1,37,NA,NA,NA,NA,6,11.89,31,58.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9816666666666667,1.8780645161290321,NA,NA,NA,NA,NA,1.9298655913978493,0.07325778319067092,2.642857142857143,37,39.97,2022-03-24,24.48,329.487,NA,2022-03-24,108,134,125,2022-04-20,27,1,1,1,1
1,1,6,HR_074,HR_115,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,12,1,0,13,0,24,NA,NA,NA,NA,NA,NA,24,56.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3595833333333336,NA,NA,NA,NA,NA,2.3595833333333336,NA,2,26,62.48,NA,NA,NA,NA,2022-03-31,115,141,132,2022-04-26,26,1,1,1,1
1,1,7,HR_180,HR_036,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,8,1,0,9,0,8,NA,NA,NA,NA,NA,NA,8,27.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.395,NA,NA,NA,NA,NA,3.395,NA,1,9,31.12,NA,NA,NA,NA,2022-03-31,115,141,132,2022-04-14,14,1,1,1,1
1,1,8,HR_160,HR_033,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,18,6,0,24,0,21,NA,NA,NA,NA,NA,NA,NA,NA,9,27.89,12,28.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.098888888888889,2.3433333333333333,NA,NA,NA,2.721111111111111,0.5342584568965025,1.1666666666666667,28,87.33,2022-03-31,19.99,261.504,NA,2022-03-24,108,134,125,2022-04-26,33,1,1,1,1
